ID,Text,Countries,Sentences,Characters
0,"Australia is famous for its food, unlike Australia. My friend from India loves China. I traveled to Egypt and then visited USA. We saw Spain and Mexico on the map. From Egypt, we flew to Peru and finally Chile. Both Vietnam and Chile are beautiful.","[Australia, Australia, India, China, Egypt, USA, Spain, Mexico, Egypt, Peru, Chile, Vietnam, Chile]",6,248
1,"The delegation from China met with UK. My friend from Russia loves Peru. After leaving USA, I went to USA again. Both Russia and USA are beautiful. My friend from Peru loves China. I traveled to Vietnam and then visited Canada.","[China, UK, Russia, Peru, USA, USA, Russia, USA, Peru, China, Vietnam, Canada]",6,227
2,"France is famous for its food, unlike UK. After leaving Peru, I went to Peru again. We saw Kenya and China on the map.","[France, UK, Peru, Peru, Kenya, China]",3,118
3,"After leaving Chile, I went to Chile again. My friend from Spain loves Spain. My friend from Egypt loves Spain. My friend from Brazil loves Australia. I traveled to Brazil and then visited Russia.","[Chile, Chile, Spain, Spain, Egypt, Spain, Brazil, Australia, Brazil, Russia]",5,196
4,"From Chile, we flew to Russia and finally USA. Both Canada and Peru are beautiful. Russia is famous for its food, unlike Argentina. The delegation from Japan met with Brazil. France is famous for its food, unlike Japan.","[Chile, Russia, USA, Canada, Peru, Russia, Argentina, Japan, Brazil, France, Japan]",5,219
5,Both France and Canada are beautiful. We saw Peru and Mexico on the map. The delegation from France met with Canada.,"[France, Canada, Peru, Mexico, France, Canada]",3,116
6,"My friend from Italy loves Argentina. From Argentina, we flew to Spain and finally Japan. The delegation from USA met with Vietnam. Russia is famous for its food, unlike France. After leaving France, I went to France again. I traveled to Russia and then visited Brazil.","[Italy, Argentina, Argentina, Spain, Japan, USA, Vietnam, Russia, France, France, France, Russia, Brazil]",6,269
7,"My friend from Spain loves Japan. We saw Canada and Canada on the map. After leaving Germany, I went to Germany again. I traveled to India and then visited Germany.","[Spain, Japan, Canada, Canada, Germany, Germany, India, Germany]",4,164
8,"Italy is famous for its food, unlike Spain. My friend from Kenya loves Egypt. The delegation from France met with Egypt. From Canada, we flew to Kenya and finally Germany. After leaving Canada, I went to Canada again. The delegation from Argentina met with Russia.","[Italy, Spain, Kenya, Egypt, France, Egypt, Canada, Kenya, Germany, Canada, Canada, Argentina, Russia]",6,264
9,My friend from India loves India. Both Mexico and Kenya are beautiful. The delegation from Australia met with Italy. I traveled to Argentina and then visited Spain.,"[India, India, Mexico, Kenya, Australia, Italy, Argentina, Spain]",4,164
10,"After leaving Italy, I went to Italy again. The delegation from USA met with Chile. After leaving Argentina, I went to Argentina again. Both Kenya and Spain are beautiful. We saw Russia and Egypt on the map.","[Italy, Italy, USA, Chile, Argentina, Argentina, Kenya, Spain, Russia, Egypt]",5,207
